cod_municipio,municipio,OADR_2010,YDR_2010,OADR_2022,YDR_2022,dOADR,dYDR
2502003,Belém do Brejo do Cruz (PB),17.994722955145118,35.289357959542656,18.368063685319598,29.27885741044252,0.3733407301744798,-6.010500549100136
2502052,Bernardino Batista (PB),16.80406946149798,50.17540782318891,16.81184668989547,36.650696864111495,0.007777228397490177,-13.524710959077417
2502102,Boa Ventura (PB),17.18352383006254,36.122492991158076,20.3324428613832,35.14395963193826,3.148919031320659,-0.9785333592198171
2502151,Boa Vista (PB),17.748466503628272,35.3285490919296,18.08187134502924,31.941520467836256,0.3334048414009665,-3.3870286240933467
2502201,Bom Jesus (PB),19.82501067008109,39.415279556124624,19.896305897602073,29.00194426441996,0.07129522752098083,-10.413335291704662
2502300,Bom Sucesso (PB),23.43065334055438,31.98266948943922,27.48452264581297,24.910394265232974,4.053869305258591,-7.072275224206248
2502409,Bonito de Santa Fé (PB),16.086841535835358,43.41595941624793,16.65679158643164,36.20945045178492,0.5699500505962831,-7.206508964463012
2502508,Boqueirão (PB),17.460483461320106,37.89852690710252,16.19414353419093,33.71699390656737,-1.2663399271291773,-4.181533000535154
2502607,Igaracy (PB),19.30605348827626,39.13957225862282,21.367292225201073,30.991957104557642,2.061238736924814,-8.147615154065178
2502706,Borborema (PB),20.127862495414767,44.96672430959493,19.458575581395348,34.593023255813954,-0.6692869140194198,-10.373701053780977
2502805,Brejo do Cruz (PB),16.507067070134447,36.170375761290074,15.151835784573061,29.73230345995133,-1.355231285561386,-6.438072301338746
2502904,Brejo dos Santos (PB),19.366890290443095,34.780862089744105,20.557717250324256,29.092088197146563,1.1908269598811607,-5.688773892597542
2503001,Caaporã (PB),10.201202857106217,44.67754965953245,10.916953800717248,39.35728851698193,0.715750943611031,-5.320261142550521
2503100,Cabaceiras (PB),21.14473749813033,36.52091539113526,20.95808383233533,31.864841745081264,-0.1866536657949993,-4.656073646053997
2503209,Cabedelo (PB),10.628685006096442,33.816872943495184,13.514159138290479,31.849374565670605,2.8854741321940374,-1.9674983778245796
2503308,Cachoeira dos Índios (PB),20.17348989738707,37.45900772241617,20.071239231278994,32.40556660039761,-0.10225066610807687,-5.053441122018555
2503407,Cacimba de Areia (PB),16.662087912087912,34.31318681318681,16.937669376693766,32.65582655826558,0.2755814646058532,-1.6573602549212296
2503506,Cacimba de Dentro (PB),23.595145848675994,43.52246165668726,20.082628929622945,33.39348466141134,-3.5125169190530485,-10.12897699527592
2503555,Cacimbas (PB),17.824074074074073,62.33710562414266,14.618973561430794,47.100644301266385,-3.2051005126432788,-15.236461322876274
2503605,Caiçara (PB),20.476679533944825,37.472111059956795,17.76061776061776,32.909379968203496,-2.716061773327066,-4.5627310917532995
2503704,Cajazeiras (PB),17.04872076191112,32.45297501595658,17.10160894213776,28.861116849135854,0.052888180226638326,-3.591858166820728
2503753,Cajazeirinhas (PB),16.346553587760873,39.63581940633574,18.010899182561307,32.15258855585831,1.6643455948004338,-7.483230850477433
2503803,Caldas Brandão (PB),18.306229449924466,36.85683817648627,16.827298775722845,34.110445428497,-1.4789306742016208,-2.746392747989269
2503902,Camalaú (PB),20.39149540592126,40.015091659638685,20.632942935459756,31.97109394467979,0.24144752953849746,-8.043997714958895
2504009,Campina Grande (PB),14.260563269224825,32.928420891942814,15.010644388299058,29.586257254810544,0.7500811190742329,-3.34216363713227
2504033,Capim (PB),13.397862858785759,49.1302889453256,12.519017604868507,40.154314279504455,-0.8788452539172518,-8.975974665821148
2504074,Caraúbas (PB),22.511334516065446,38.34680333793285,20.613704819277107,28.65210843373494,-1.8976296967883393,-9.694694904197906
2504108,Carrapateira (PB),14.535883111302105,41.96390201976794,14.320388349514563,26.820388349514563,-0.2154947617875429,-15.14351367025338
2504157,Casserengue (PB),19.904679701279694,43.62592411903779,19.984635645302898,32.0017559262511,0.0799559440232045,-11.62416819278669
2504207,Catingueira (PB),18.173087183865114,39.739622238821894,18.397024010821777,34.460601961447416,0.22393682695666328,-5.279020277374478
2504306,Catolé do Rocha (PB),17.267880752335053,32.85196400392374,17.23950453857791,28.429935703479575,-0.0283762137571415,-4.422028300444165
2504355,Caturité (PB),17.962601172202064,40.011163829193414,16.515323496027243,33.49886492622021,-1.4472776761748207,-6.512298902973207
2504405,Conceição (PB),16.4756350054806,35.88508329160859,17.77804818690679,31.220085990103026,1.3024131814261892,-4.6649973015055615
2504504,Condado (PB),22.74767801857585,35.688854489164086,20.89310504396113,29.22258213789912,-1.8545729746147224,-6.466272351264966
2504603,Conde (PB),9.848175952797831,43.07797471997697,11.472685358923497,37.634696831608856,1.6245094061256662,-5.443277888368115
2504702,Congo (PB),22.56353591160221,38.50276243093923,18.449911084765855,28.497332542975695,-4.113624826836354,-10.005429887963533
2504801,Coremas (PB),18.041228495477572,38.61367930048652,18.326876019575856,32.25938009787928,0.28564752409828387,-6.354299202607237
2504850,Coxixola (PB),25.165831866793013,27.927440097468526,23.15705128205128,23.477564102564102,-2.008780584741732,-4.449875994904424
2504900,Cruz do Espírito Santo (PB),12.739609566737782,42.72469161546975,11.89003727549983,33.980006777363606,-0.8495722912379513,-8.744684838106146
2505006,Cubati (PB),19.059518400726944,41.647735877631376,17.100117324990222,32.19593273367227,-1.9594010757367215,-9.451803143959104
2505105,Cuité (PB),22.66921439380338,35.86267921721511,20.568902991840435,29.253550921728618,-2.1003114019629443,-6.609128295486492
2505204,Cuitegi (PB),20.223189983669027,43.11377245508982,16.20401715188445,36.45903859174001,-4.0191728317845765,-6.654733863349811
2505238,Cuité de Mamanguape (PB),19.674269842605842,42.61846645905227,19.250551065393093,34.9253000244918,-0.4237187772127484,-7.6931664345604744
2505279,Curral de Cima (PB),20.502558386949694,43.391255889356096,19.362745098039216,32.95847750865052,-1.139813288910478,-10.432778380705578
2505303,Curral Velho (PB),12.446650124069478,39.65260545905707,15.626969124133586,29.96219281663516,3.1803190000641077,-9.690412642421911
2505352,Damião (PB),18.170480425116583,47.15323717601128,19.06779661016949,32.5363196125908,0.8973161850529081,-14.616917563420479
2505402,Desterro (PB),18.382931305715783,42.851992658626116,18.111194309247473,33.89180082366155,-0.2717369964683094,-8.960191834964569
2505501,Vista Serrana (PB),15.978353745371688,38.536029621190544,15.5001977066034,29.22103598260182,-0.4781560387682884,-9.314993638588724
2505600,Diamante (PB),15.690052514261966,37.65914843779515,17.91062514856192,32.64796767292608,2.2205726342999537,-5.011180764869074
2505709,Dona Inês (PB),22.135623637995128,46.488911677990004,18.41449105309475,34.9295981226166,-3.721132584900378,-11.5593135553734
2505808,Duas Estradas (PB),25.6262323815088,40.74344555612357,20.67956795679568,29.725472547254725,-4.94666442471312,-11.017973008868843
