cod_municipio,municipio,pop_0a14,pop_65mais,indice_envelhecimento,percentual_idosos,razao_dependencia,classificacao,pop_60mais,indice_60mais,diferenca_abs,diferenca_rel
2510659,Parari - PB,104,91,87.5,46.666666666666664,100,Alerta,379,364.4230769230769,276.9230769230769,316.4835164835165
2512077,Poço de José de Moura - PB,220,192,87.27272727272727,46.601941747572816,100,Alerta,852,387.27272727272725,300,343.75000000000006
2513851,Santo André - PB,140,122,87.14285714285714,46.56488549618321,100,Alerta,NA,NA,NA,NA
2512077,Poço de José de Moura - PB,222,192,86.48648648648648,46.3768115942029,100,Alerta,852,383.78378378378375,297.2972972972973,343.75
2517100,Várzea - PB,137,118,86.13138686131386,46.27450980392157,100,Alerta,550,401.45985401459853,315.3284671532847,366.1016949152543
2514206,São José da Lagoa Tapada - PB,406,349,85.96059113300493,46.22516556291391,100,Alerta,1428,351.7241379310345,265.76354679802955,309.16905444126076
2517209,Vieirópolis - PB,287,245,85.36585365853658,46.05263157894737,100,Alerta,1108,386.06271777003485,300.69686411149826,352.2448979591837
2513604,Santana dos Garrotes - PB,379,323,85.22427440633246,46.01139601139601,100,Alerta,1376,363.06068601583115,277.83641160949867,326.00619195046437
2513984,São Francisco - PB,202,172,85.14851485148515,45.98930481283423,100,Alerta,718,355.44554455445547,270.29702970297035,317.44186046511635
2500205,Aguiar - PB,258,219,84.88372093023256,45.911949685534594,100,Alerta,995,385.6589147286822,300.77519379844966,354.3378995433791
2513208,Santa Cruz - PB,377,320,84.88063660477454,45.91104734576758,100,Alerta,1440,381.9628647214854,297.0822281167109,350
2514909,São Mamede - PB,455,386,84.83516483516483,45.89774078478002,100,Alerta,1686,370.54945054945057,285.7142857142857,336.7875647668394
2513307,Santa Helena - PB,290,245,84.48275862068965,45.794392523364486,100,Alerta,1223,421.7241379310344,337.24137931034477,399.1836734693877
2502300,Bom Sucesso - PB,271,227,83.76383763837639,45.58232931726908,100,Alerta,1140,420.6642066420664,336.90036900369,402.2026431718061
2514909,São Mamede - PB,401,329,82.04488778054862,45.06849315068493,100,Alerta,1686,420.4488778054863,338.4039900249377,412.46200607902745
2513208,Santa Cruz - PB,330,270,81.81818181818183,45,100,Alerta,1440,436.3636363636363,354.5454545454545,433.3333333333332
2504504,Condado - PB,366,298,81.4207650273224,44.87951807228915,100,Alerta,1258,343.7158469945355,262.29508196721315,322.1476510067115
2513653,Joca Claudino - PB,146,118,80.82191780821918,44.696969696969695,100,Alerta,472,323.28767123287673,242.46575342465755,300
2517100,Várzea - PB,137,109,79.56204379562044,44.3089430894309,100,Alerta,550,401.45985401459853,321.89781021897807,404.5871559633027
2513968,São Domingos - PB,161,128,79.5031055900621,44.29065743944637,100,Alerta,536,332.9192546583851,253.41614906832302,318.7500000000001
2513984,São Francisco - PB,169,134,79.28994082840237,44.224422442244226,100,Alerta,718,424.85207100591714,345.56213017751475,435.820895522388
